RamanShift,Residual
1039.0,0.04461148776247667
1040.0,0.056383088176310686
1041.0,0.11465714306085684
1042.0,0.12880106636536767
1043.0,0.07260989106663868
1044.0,0.06885288447731858
1045.0,0.07876825416000222
1046.0,0.08449666125144614
1047.0,0.0610658726906414
1048.0,0.020391389721389735
1049.0,-0.010895459000105495
1050.0,0.016453114915173928
1051.0,0.13333499055437048
1052.0,0.14120112123323342
1053.0,0.13777732823912575
1054.0,0.2011962736430628
1055.0,0.19452890740819007
1056.0,0.1525575277749323
1057.0,0.23096635804255805
1058.0,0.26377474608007373
1059.0,0.2321107288423238
1060.0,0.24304712741873147
1061.0,0.27512542309592536
1062.0,0.3602384505767042
1063.0,0.34707581736835574
1064.0,0.26698587578699867
1065.0,0.29143442908754263
1066.0,0.25531490063824575
1067.0,0.1444256235645205
1068.0,0.17391649939258408
1069.0,0.20547455961292777
1070.0,0.18715987437335302
1071.0,0.16046288934440073
1072.0,0.14737539080105538
1073.0,0.16470098423158575
1074.0,0.2146422097020328
1075.0,0.2978126435708869
1076.0,0.3369555868681845
1077.0,0.3774900347894433
1078.0,0.4287875693442099
1079.0,0.4592709207527561
1080.0,0.47340505563838076
1081.0,0.44144096037975955
1082.0,0.44261345217438375
1083.0,0.4700691890740085
1084.0,0.5210269199500687
1085.0,0.5855598190317846
1086.0,0.6705475818707893
1087.0,0.7622924351297351
1088.0,0.8161408437305236
1089.0,0.7250017397733581
1090.0,0.757760700504139
1091.0,0.8561395597194638
1092.0,0.8487069644654999
1093.0,0.8515641421454566
1094.0,0.8660590765319884
1095.0,0.8637111404971705
1096.0,0.8264884922699237
1097.0,0.7186406925216091
1098.0,0.705671934019753
1099.0,0.7087714620963386
1100.0,0.595919951416426
1101.0,0.5278071912174838
1102.0,0.4935376926093641
1103.0,0.43921535078081486
1104.0,0.39866018112904406
1105.0,0.3789107145111982
1106.0,0.3758043901876248
1107.0,0.35451642320884846
1108.0,0.27003199398384137
1109.0,0.2383042565996757
1110.0,0.22169849759305674
1111.0,0.1805603900862809
1112.0,0.14599274127422188
1113.0,0.11812865799561045
1114.0,0.055397808205918164
1115.0,0.019630208964850737
1116.0,0.031386044177956485
1117.0,-0.08278080461289616
1118.0,-0.1522208919122884
1119.0,-0.07596230576749646
1120.0,-0.014879589078725663
1121.0,0.031764651482958595
1122.0,0.007843179511747678
1123.0,-0.015202249324296757
1124.0,-0.03698816176132204
1125.0,0.07503106264654807
1126.0,0.13410489590371671
1127.0,0.127488333797932
1128.0,0.16462760786496602
1129.0,0.19894614682771522
1130.0,0.18930157836487327
1131.0,0.19576049002089774
1132.0,0.20281406381647615
1133.0,0.1404192473717438
1134.0,0.08657224712213579
1135.0,0.04696199858496742
1136.0,0.08254482443920452
1137.0,0.08748323095275247
1138.0,0.04183214172346957
1139.0,0.06442167634151219
1140.0,0.10442554758194869
1141.0,0.1508008926476476
1142.0,0.08152707511518108
1143.0,-0.022311882860938687
1144.0,-0.06259234608378153
1145.0,-0.07659105273608824
1146.0,-0.07181688693780519
1147.0,-0.11650904039036875
1148.0,-0.1419919168954072
1149.0,-0.1322616468549136
1150.0,-0.09256163830041735
1151.0,-0.05047417624906461
1152.0,-0.008406419164487963
1153.0,-0.009135085158623546
1154.0,-0.021160019248776085
1155.0,-0.026642638854181305
1156.0,-0.05001210927145302
1157.0,-0.0778153296442421
1158.0,-0.026223003832320735
1159.0,-0.01838340462428449
1160.0,-0.0492660766147018
1161.0,-0.04591572886465076
1162.0,-0.02074741432127481
1163.0,0.03374565066368685
1164.0,0.046465310400477765
1165.0,0.03556506382263129
1166.0,0.003022659893843649
1167.0,-0.012883210664464247
1168.0,-0.012071431361526566
1169.0,0.035218635330805034
1170.0,0.02587397383644892
1171.0,-0.008749676248872407
1172.0,0.02562855369516423
1173.0,0.0010392750104995102
1174.0,-0.06346771428807707
1175.0,-0.12189132658290411
1176.0,-0.1591289067198606
1177.0,-0.16808632059759188
1178.0,-0.19688840711414243
1179.0,-0.21461837937089173
1180.0,-0.18580934162640622
1181.0,-0.18661703892548728
1182.0,-0.17589803667166976
1183.0,-0.07777344909653468
1184.0,-0.07120968128582013
1185.0,-0.10578963751089496
1186.0,-0.12417706228215122
1187.0,-0.12387162447280811
1188.0,-0.12661705986083052
1189.0,-0.10503146313084974
1190.0,-0.11463193821421558
1191.0,-0.1574624837294878
1192.0,-0.1653040181990918
1193.0,-0.1702294011728974
1194.0,-0.17515478414670296
1195.0,-0.18008016712050856
1196.0,-0.18078966538704125
1197.0,-0.17744556199921446
1198.0,-0.17148761352234573
1199.0,-0.16607301730101676
1200.0,-0.16612589845476972
1201.0,-0.13956618555131542
1202.0,-0.10868417519369986
1203.0,-0.145492510506853
1204.0,-0.14462543521802157
1205.0,-0.12485540947971173
1206.0,-0.13015699715772222
1207.0,-0.1322642536185919
1208.0,-0.13123708657704378
1209.0,-0.1580178706894551
1210.0,-0.162136514921058
1211.0,-0.13571994727379916
1212.0,-0.10400711693387155
1213.0,-0.09013926310298459
1214.0,-0.11212121487007301
1215.0,-0.08971612375947155
