RamanShift,y_exp,LTA_fit
402.0,0.17264930847609722,0.18063678961676247
403.0,0.19068543300610688,0.16815491248444617
404.0,0.17678609321020475,0.15623164443092158
405.0,0.14493763571120877,0.14491353621275466
406.0,0.16201548840000413,0.13360630299065276
407.0,0.19107728838951435,0.12230833365408768
408.0,0.18905498492302564,0.1110103643175226
409.0,0.18537923082838056,0.09971239498095753
410.0,0.1777858163972622,0.08841442564439246
411.0,0.17211929056158617,0.07711645630782739
412.0,0.17102272433490723,0.07304123448429163
413.0,0.19213133707487157,0.07177485891582244
414.0,0.23905506599902043,0.07050848334735325
415.0,0.2381918079780479,0.07134052845343153
416.0,0.20913358157759798,0.07266479569304564
417.0,0.20257364413115816,0.07398906293265972
418.0,0.20177508513732925,0.07531333017227383
419.0,0.20834085797543342,0.07663759741188794
420.0,0.21529499984745754,0.09302030751701297
421.0,0.22299155542569674,0.1100304527415337
422.0,0.226846514020637,0.12704059796605444
423.0,0.22181668211560018,0.1440907952242541
424.0,0.1769870138623938,0.1616015908697617
425.0,0.08760220711444605,0.17911238651526928
426.0,0.11954747271096053,0.19662318216077684
427.0,0.21901683654819792,0.22004995001434158
428.0,0.21477809138653187,0.2671406067001366
429.0,0.18680755169565172,0.3142312633859317
430.0,0.19235431163825195,0.36132192007172675
431.0,0.19802543537439463,0.4084125767575218
432.0,0.20179229771684426,0.4556190413045359
433.0,0.1945479683993643,0.5030405775938136
434.0,0.16513639245292308,0.5504621138830915
435.0,0.13744285815133037,0.5533655437524665
436.0,0.11142696743718913,0.49960956545105567
437.0,0.06464826036803595,0.44585358714964485
438.0,0.00813039918857486,0.392097608848234
439.0,0.05196037765147397,0.3383416305468232
440.0,0.10964187381538315,0.2845856522454124
441.0,0.07706804521441635,0.23141955955165677
442.0,0.05233368921312925,0.17861500964968988
443.0,0.05725514289146118,0.16814633368218618
444.0,0.0474845584161172,0.17760042191913514
445.0,0.014400064292960688,0.18705451015608407
446.0,0.013013535212271115,0.19650859839303303
447.0,0.03605658405907458,0.205962686629982
