Dataset,RamanShift,Intensity,Intensity_norm
Glycerol-Phosphate,3010.56,3.89093587,0.06604884818730293
Glycerol-Phosphate,3019.2,15.16513578,0.2574290053444278
Glycerol-Phosphate,3027.8399999999997,5.001810422,0.0849060041753779
Glycerol-Phosphate,3036.48,14.09983901,0.2393455346867235
Glycerol-Phosphate,3045.12,3.087962827,0.052418337074406164
Glycerol-Phosphate,3053.7599999999998,1.136829795,0.019297747650813303
Glycerol-Phosphate,3062.4,0.661390516,0.011227140010355904
Glycerol-Phosphate,3071.04,0.443204958,0.0075234282868820385
Glycerol-Phosphate,3079.68,0.33308346,0.0056541098641241785
Glycerol-Phosphate,3088.3199999999997,0.252241022,0.004281805078603914
Glycerol-Phosphate,3096.96,0.205663927,0.0034911563556629765
Glycerol-Phosphate,3105.6,0.158143895,0.0026845012258204545
Glycerol-Phosphate,3114.24,0.134003003,0.0022747082700670935
Glycerol-Phosphate,3122.88,0.103073685,0.0017496814134515366
Glycerol-Phosphate,3131.52,0.061125502,0.0010376087236746675
Glycerol-Phosphate,3140.16,0.031934877,0.0005420962753758243
Glycerol-Phosphate,3148.7999999999997,0.02746445,0.0004662105337135182
Glycerol-Phosphate,3157.44,0.02387436,0.00040526856054531115
Glycerol-Phosphate,3166.08,0.02094706,0.0003555774837045376
Glycerol-Phosphate,3174.72,0.010190089,0.00017297731544881658
Glycerol-Phosphate,3183.3599999999997,0.009023609,0.00015317625395418828
Glycerol-Phosphate,3192.0,0.0,0.0
Glycerol-Phosphate,3200.64,0.0,0.0
Glycerol-Phosphate,3209.2799999999997,0.0,0.0
Glycerol-Phosphate,3217.92,0.0,0.0
Glycerol-Phosphate,3226.56,0.0,0.0
Glycerol-Phosphate,3235.2,0.0,0.0
Glycerol-Phosphate,3243.8399999999997,0.0,0.0
Glycerol-Phosphate,3252.48,0.0,0.0
Glycerol-Phosphate,3261.12,0.0,0.0
Glycerol-Phosphate,3269.7599999999998,0.0,0.0
Glycerol-Phosphate,3278.4,0.0,0.0
Glycerol-Phosphate,3287.04,0.0,0.0
Glycerol-Phosphate,3295.68,0.0,0.0
Glycerol-Phosphate,3304.3199999999997,0.0,0.0
Glycerol-Phosphate,3312.96,0.0,0.0
Glycerol-Phosphate,3321.6,0.0,0.0
Glycerol-Phosphate,3330.24,0.0,0.0
Glycerol-Phosphate,3338.8799999999997,0.0,0.0
Glycerol-Phosphate,3347.52,0.019332445,0.0003281693061917219
