filepath,filename,sec,power,replicate,snr,fwhm,max_intensity,score,n_peaks
.\Int_20sec_Power5-80_Ta_2\sec-20_power-25_i-2.xlsx,sec-20_power-25_i-2.xlsx,20,25,1,15.245291309689431,47.94832447158862,1.0,7.828902390680767,92
.\Int_15sec_Power5-80_Ta_2\sec-15_power-10_i-2.xlsx,sec-15_power-10_i-2.xlsx,15,10,1,15.147231678210183,10.306396899442499,1.0,7.8027239748509825,105
.\All_Excel_Files\sec-15_power-10_i-2.xlsx,sec-15_power-10_i-2.xlsx,15,10,1,15.147231678210183,10.306396899442499,1.0,7.8027239748509825,105
.\Int_10sec_Power5-80_Ta_2\sec-10_power-15_i-2.xlsx,sec-10_power-15_i-2.xlsx,10,15,1,14.869803544532205,29.392210794793243,1.0,7.645108558073897,110
.\All_Excel_Files\sec-10_power-15_i-2.xlsx,sec-10_power-15_i-2.xlsx,10,15,1,14.869803544532205,29.392210794793243,1.0,7.645108558073897,110
.\Int_15sec_Power5-80_Ta_2\sec-15_power-15_i-2.xlsx,sec-15_power-15_i-2.xlsx,15,15,1,14.582987754255496,11.110656482676816,1.0,7.518494981920048,102
.\All_Excel_Files\sec-15_power-15_i-2.xlsx,sec-15_power-15_i-2.xlsx,15,15,1,14.582987754255496,11.110656482676816,1.0,7.518494981920048,102
.\Int_10sec_Power5-80_Ta_2\sec-10_power-5_i-2.xlsx,sec-10_power-5_i-2.xlsx,10,5,1,14.56874086811046,9.051879828223528,1.0,7.517512721148416,114
.\All_Excel_Files\sec-10_power-5_i-2.xlsx,sec-10_power-5_i-2.xlsx,10,5,1,14.56874086811046,9.051879828223528,1.0,7.517512721148416,114
.\All_Excel_Files\sec-10_power-25_i-2.xlsx,sec-10_power-25_i-2.xlsx,10,25,1,14.300720412813877,24.5464815765721,1.0,7.3625819172482325,97
.\Int_10sec_Power5-80_Ta_2\sec-10_power-25_i-2.xlsx,sec-10_power-25_i-2.xlsx,10,25,1,14.300720412813877,24.5464815765721,1.0,7.3625819172482325,97
.\Int_10sec_Power5-80_Ta_2\sec-10_power-55_i-2.xlsx,sec-10_power-55_i-2.xlsx,10,55,1,14.2644218701848,29.934817933557643,1.0,7.342232709758472,92
.\All_Excel_Files\sec-10_power-55_i-2.xlsx,sec-10_power-55_i-2.xlsx,10,55,1,14.2644218701848,29.934817933557643,1.0,7.342232709758472,92
.\Int_20sec_Power5-80_Ta_2\sec-20_power-5_i-2.xlsx,sec-20_power-5_i-2.xlsx,20,5,1,13.46878385236015,31.752243669334273,1.0,6.943840077407566,105
.\All_Excel_Files\sec-20_power-5_i-2.xlsx,sec-20_power-5_i-2.xlsx,20,5,1,13.46878385236015,31.752243669334273,1.0,6.943840077407566,105
.\All_Excel_Files\sec-10_power-45_i-2.xlsx,sec-10_power-45_i-2.xlsx,10,45,1,12.884040394889892,36.4588338001728,1.0,6.6502486559207235,97
.\Int_10sec_Power5-80_Ta_2\sec-10_power-45_i-2.xlsx,sec-10_power-45_i-2.xlsx,10,45,1,12.884040394889892,36.4588338001728,1.0,6.6502486559207235,97
.\All_Excel_Files\sec-10_power-10_i-2.xlsx,sec-10_power-10_i-2.xlsx,10,10,1,12.086545680885582,32.84829059503744,1.0,6.252405735779674,107
.\Int_10sec_Power5-80_Ta_2\sec-10_power-10_i-2.xlsx,sec-10_power-10_i-2.xlsx,10,10,1,12.086545680885582,32.84829059503744,1.0,6.252405735779674,107
.\Int_10sec_Power5-80_Ta_2\good peak\sec-10_power-10_i-2_4.xlsx,sec-10_power-10_i-2_4.xlsx,10,10,4,11.713274258103286,18.067603620574022,1.0,6.073241433988818,102
.\All_Excel_Files\sec-10_power-10_i-2_4.xlsx,sec-10_power-10_i-2_4.xlsx,10,10,4,11.713274258103286,18.067603620574022,1.0,6.073241433988818,102
.\All_Excel_Files\sec-10_power-20_i-2.xlsx,sec-10_power-20_i-2.xlsx,10,20,1,10.932061408921363,45.790318310570875,1.0,5.672582307748636,109
.\Int_10sec_Power5-80_Ta_2\sec-10_power-20_i-2.xlsx,sec-10_power-20_i-2.xlsx,10,20,1,10.932061408921363,45.790318310570875,1.0,5.672582307748636,109
.\All_Excel_Files\sec-20_power-15_i-2.xlsx,sec-20_power-15_i-2.xlsx,20,15,1,10.621937384319613,43.87448343484978,1.0,5.517806379501368,103
.\Int_20sec_Power5-80_Ta_2\sec-20_power-15_i-2.xlsx,sec-20_power-15_i-2.xlsx,20,15,1,10.621937384319613,43.87448343484978,1.0,5.517806379501368,103
