raman_shift_cm-1,intensity_norm
767.0,0.0404539666431237
768.0,0.04178232247246515
769.0,0.043383362770149494
770.0,0.04529009978641092
771.0,0.047543858713371
772.0,0.05019620009123932
773.0,0.053311457384377564
774.0,0.05697009793958774
775.0,0.06127319757051542
776.0,0.06634843484639447
777.0,0.07235817461902497
778.0,0.07951043926403868
779.0,0.08807388071468988
780.0,0.09839828108342781
781.0,0.11094260786933523
782.0,0.12631311296840259
783.0,0.14531398685270744
784.0,0.16901149841668603
785.0,0.1988063193699069
786.0,0.23649037827277536
787.0,0.28421735573642326
788.0,0.3442083534342324
789.0,0.4178132693866454
790.0,0.5033333667904505
791.0,0.5923633823192983
792.0,0.6667910190404944
793.0,0.7028433419955049
794.0,0.6858921539138018
795.0,0.6230226956864747
796.0,0.5366690882041901
797.0,0.44817010856315864
798.0,0.36943234958939136
799.0,0.3041934462763212
800.0,0.2519082728338624
801.0,0.2105201625723737
802.0,0.1777910513552623
803.0,0.15177993263015688
804.0,0.13094242652334012
805.0,0.11409403237787198
806.0,0.10033917968848693
807.0,0.0890027715212285
808.0,0.07957436992484765
809.0,0.0716656239462966
810.0,0.06497873012482754
811.0,0.0592833372924787
812.0,0.05439967833675201
813.0,0.050186219997012775
814.0,0.04653057291988094
815.0,0.043342755455792484
816.0,0.04055016332630314
817.0,0.03809378286565256
818.0,0.0359253171677707
819.0,0.034004987498403694
820.0,0.032299838143294554
821.0,0.030782419592161072
822.0,0.02942975831549294
823.0,0.028222545355050793
824.0,0.027144493284834755
825.0,0.026181823732509973
826.0,0.025322856927167087
827.0,0.02455768160274111
828.0,0.023877888705067622
829.0,0.02327635619937943
830.0,0.022747075194410906
831.0,0.022285009835076728
832.0,0.021885985147184504
833.0,0.021546598376912897
834.0,0.02126415045348532
835.0,0.021036595090603325
836.0,0.020862503789279948
837.0,0.020741045659045908
838.0,0.020671981576351348
839.0,0.020655672784981954
840.0,0.020693104649524754
841.0,0.020785926937969355
842.0,0.02093651277798898
843.0,0.02114803935802488
844.0,0.021424594599275305
845.0,0.021771315501267537
846.0,0.0221945657882907
847.0,0.022702163030855562
848.0,0.02330366882868261
849.0,0.024010760262035052
850.0,0.024837707132784877
851.0,0.02580198822002231
852.0,0.02692509186387414
853.0,0.028233563098474863
854.0,0.029760383338761555
855.0,0.03154680222218461
856.0,0.033644788738921544
857.0,0.036120335855186494
858.0,0.039057946544867495
859.0,0.04256675709965767
860.0,0.046788919885779545
861.0,0.051911060746833264
862.0,0.05817978522088746
863.0,0.06592213561955602
864.0,0.07557104704597264
865.0,0.08769279159662241
866.0,0.10300470397607145
867.0,0.12234966009184883
868.0,0.14654569350473515
869.0,0.17594538052857595
870.0,0.20947503756711186
871.0,0.24317218996331338
872.0,0.26937962053933107
873.0,0.27922508645461735
874.0,0.26874662697211943
875.0,0.2424038757037154
876.0,0.20916151396932897
877.0,0.17647293353229557
878.0,0.1480806969470367
879.0,0.12493478698735079
880.0,0.10663996299359055
881.0,0.09237822495254949
882.0,0.08132446017413085
883.0,0.07278541410556641
884.0,0.0662213037979887
885.0,0.0612275846823596
886.0,0.05750844571652913
887.0,0.05485298658423157
888.0,0.05311689792235326
889.0,0.052209669533885276
890.0,0.05208664501957184
891.0,0.05274528754818475
892.0,0.054225305415665885
893.0,0.05661261262889337
894.0,0.06004736188387877
895.0,0.06473631425467226
896.0,0.07096916320180606
897.0,0.07913598484081925
898.0,0.08973604924640458
899.0,0.1033510446225011
900.0,0.12051881783711942
901.0,0.14138311063582035
902.0,0.16496391753005576
903.0,0.1881336483303462
904.0,0.2052823210307428
905.0,0.21051036462499054
906.0,0.20196196580286582
907.0,0.18351026020597994
908.0,0.16145192183806245
909.0,0.14060526443600666
910.0,0.12324275573530985
911.0,0.10988406521340764
912.0,0.10026526298129344
913.0,0.09391995718528749
914.0,0.09043633605444153
915.0,0.08954769116950785
916.0,0.0911575132855086
917.0,0.09534702990275751
918.0,0.10238334945063271
919.0,0.11272957919788727
920.0,0.12704160956946361
921.0,0.14610593079950634
922.0,0.1706124166141377
923.0,0.20056381865667602
924.0,0.23410399838580873
925.0,0.2660111808962635
926.0,0.2875664896686391
927.0,0.29044478449485533
928.0,0.2730881503718801
929.0,0.24209937466391343
930.0,0.20670015640670053
931.0,0.1734143091800696
932.0,0.14505021740484872
933.0,0.12202227831901852
934.0,0.10371320743775096
935.0,0.0892414919596953
936.0,0.07777950016915179
937.0,0.06864697950999014
938.0,0.06131486259174886
939.0,0.05538110439566379
940.0,0.05054254550557349
941.0,0.046570547448336844
942.0,0.04329193476369439
943.0,0.04057472305278137
944.0,0.03831763133741309
945.0,0.03644242779644032
946.0,0.03488834674436892
947.0,0.03360800634158949
948.0,0.032564413248052246
949.0,0.031728758574886676
950.0,0.031078795413569334
951.0,0.030597649831603978
952.0,0.030272961349049297
953.0,0.030096280820538387
954.0,0.030062677233053663
955.0,0.030170523041853855
956.0,0.030421442442840323
957.0,0.030820420115175787
958.0,0.03137608094394703
959.0,0.032101165515059614
960.0,0.03301324341088071
