sigma,gamma,rmse,cosine_similarity,correlation,aic,bic
13.444444444444445,8.777777777777779,0.2548264575531766,0.60957156924473,0.18829131657802778,-1910.041533773378,-1900.9393731032912
13.444444444444445,10.333333333333334,0.25459080472759343,0.6181361550173072,0.19130490886800908,-1911.3367940787411,-1902.2346334086544
13.444444444444445,11.88888888888889,0.2548026305999411,0.6256633794804431,0.19348201364670553,-1910.1724436265615,-1901.0702829564748
13.444444444444445,13.444444444444445,0.2554321387079627,0.6322943097066938,0.19493147414994386,-1906.7179091596372,-1897.6157484895505
13.444444444444445,15.0,0.25644605193792924,0.6381534154208729,0.1957542859246728,-1901.17174444969,-1892.0695837796034
15.0,1.0,0.26091513453894644,0.5627569439852951,0.1728257028944818,-1876.9841113797913,-1867.8819507097046
15.0,2.5555555555555554,0.25880968027754503,0.5766018655765267,0.17959485260456048,-1888.3272376150546,-1879.225076944968
15.0,4.111111111111111,0.25718164287517364,0.5888079888058153,0.18514365389003654,-1897.1617269735375,-1888.0595663034508
15.0,5.666666666666667,0.25602939351782517,0.5995548509901609,0.1895795167635254,-1903.4482317305817,-1894.346071060495
15.0,7.222222222222222,0.2553433054528276,0.6090135122539413,0.19301462097618818,-1907.2048807236188,-1898.102720053532
15.0,8.777777777777779,0.2551068202247145,0.6173428659182321,0.19556108093815042,-1908.5020861757912,-1899.3999255057045
15.0,10.333333333333334,0.2552976235128261,0.624687725764997,0.197327399663459,-1907.4553687379744,-1898.3532080678876
15.0,11.88888888888889,0.255888867513889,0.6311781808794221,0.19841604056082926,-1904.2168560420328,-1895.114695371946
15.0,13.444444444444445,0.25685037981846914,0.6369298031799436,0.19892191512088733,-1898.9661606395864,-1889.8639999694997
15.0,15.0,0.25814980666554227,0.6420443897708221,0.19893158541788888,-1891.9013032115834,-1882.7991425414966
